image,run,strategy,moves_taken,completed,first_move,ensemble_agreement_count,ensemble_total_considered,agreement_rate,error
test1,1,depth,15.0,True,,,,,
test1,1,monte_carlo,7.0,True,,,,,
test1,1,mcts,19.0,True,,,,,
test1,1,expectimax,19.0,True,,,,,
test1,1,softmax,16.0,True,,,,,
test1,1,ensemble,16.0,True,,,,,
test1,1,depth,,,,9.0,15.0,0.6,
test1,1,monte_carlo,,,,13.0,15.0,0.8666666666666667,
test1,1,mcts,,,,8.0,15.0,0.5333333333333333,
test1,1,expectimax,,,,12.0,15.0,0.8,
test1,1,softmax,,,,13.0,15.0,0.8666666666666667,
test1,2,depth,11.0,True,,,,,
test1,2,monte_carlo,10.0,True,,,,,
test1,2,mcts,18.0,True,,,,,
test1,2,expectimax,16.0,True,,,,,
test1,2,softmax,10.0,True,,,,,
test1,2,ensemble,12.0,True,,,,,
test1,2,depth,,,,8.0,11.0,0.7272727272727273,
test1,2,monte_carlo,,,,10.0,11.0,0.9090909090909091,
test1,2,mcts,,,,6.0,11.0,0.5454545454545454,
test1,2,expectimax,,,,6.0,11.0,0.5454545454545454,
test1,2,softmax,,,,10.0,11.0,0.9090909090909091,
test1,3,depth,14.0,True,,,,,
test1,3,monte_carlo,11.0,True,,,,,
test1,3,mcts,17.0,True,,,,,
test1,3,expectimax,12.0,True,,,,,
test1,3,softmax,13.0,True,,,,,
test1,3,ensemble,11.0,True,,,,,
test1,3,depth,,,,10.0,10.0,1.0,
test1,3,monte_carlo,,,,9.0,10.0,0.9,
test1,3,mcts,,,,6.0,10.0,0.6,
test1,3,expectimax,,,,4.0,10.0,0.4,
test1,3,softmax,,,,7.0,10.0,0.7,
test1,4,depth,12.0,True,,,,,
test1,4,monte_carlo,17.0,True,,,,,
test1,4,mcts,12.0,True,,,,,
test1,4,expectimax,10.0,True,,,,,
test1,4,softmax,9.0,True,,,,,
test1,4,ensemble,16.0,True,,,,,
test1,4,depth,,,,6.0,13.0,0.46153846153846156,
test1,4,monte_carlo,,,,12.0,13.0,0.9230769230769231,
test1,4,mcts,,,,8.0,13.0,0.6153846153846154,
test1,4,expectimax,,,,9.0,13.0,0.6923076923076923,
test1,4,softmax,,,,11.0,13.0,0.8461538461538461,
test1,5,depth,13.0,True,,,,,
test1,5,monte_carlo,14.0,True,,,,,
test1,5,mcts,21.0,True,,,,,
