epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
76,2077.27,0.88219,0.60658,0.90218,0.92403,0.59756,0.71196,0.4618,0.98109,0.60177,0.93625,0.000367967,0.000367967,0.000367967
77,2104.12,0.91813,0.62896,0.93436,0.92403,0.59756,0.71196,0.4618,0.98109,0.60177,0.93625,0.00035382,0.00035382,0.00035382
78,2131.2,0.93478,0.60607,0.91365,0.92822,0.5935,0.7036,0.46407,0.98137,0.5999,0.93259,0.000339673,0.000339673,0.000339673
79,2157.91,0.89431,0.59766,0.89809,0.9314,0.59399,0.70072,0.46509,0.98124,0.60341,0.93041,0.000325526,0.000325526,0.000325526
80,2185.26,0.8991,0.60023,0.90907,0.9314,0.59399,0.70072,0.46509,0.98124,0.60341,0.93041,0.000311379,0.000311379,0.000311379
81,2212.44,0.93785,0.60069,0.91026,0.93115,0.61382,0.70782,0.46669,0.98399,0.60279,0.92955,0.000297232,0.000297232,0.000297232
82,2239.3,0.88271,0.60907,0.90534,0.93115,0.61382,0.70782,0.46669,0.98399,0.60279,0.92955,0.000283085,0.000283085,0.000283085
83,2265.31,0.92683,0.6109,0.93043,0.92882,0.61382,0.70735,0.46513,0.99559,0.6057,0.9366,0.000268938,0.000268938,0.000268938
84,2292.34,0.88934,0.61085,0.91668,0.92418,0.62195,0.70291,0.46231,1.00216,0.59927,0.93594,0.000254791,0.000254791,0.000254791
85,2318.84,0.88204,0.59298,0.9052,0.92418,0.62195,0.70291,0.46231,1.00216,0.59927,0.93594,0.000240644,0.000240644,0.000240644
86,2345.69,0.8429,0.61259,0.88374,0.93064,0.61789,0.6996,0.46537,0.99673,0.5926,0.93601,0.000226497,0.000226497,0.000226497
87,2372.25,0.86075,0.58564,0.89008,0.927,0.61646,0.69767,0.46767,0.99238,0.59129,0.93114,0.000212349,0.000212349,0.000212349
88,2399.41,0.85066,0.60975,0.89813,0.927,0.61646,0.69767,0.46767,0.99238,0.59129,0.93114,0.000198202,0.000198202,0.000198202
89,2425.51,0.85551,0.55995,0.89999,0.93196,0.61037,0.70135,0.47237,0.99246,0.59257,0.9279,0.000184055,0.000184055,0.000184055
90,2452.21,0.88056,0.57162,0.89755,0.93196,0.61037,0.70135,0.47237,0.99246,0.59257,0.9279,0.000169908,0.000169908,0.000169908
91,2476.25,0.91369,0.65626,0.93487,0.94269,0.5935,0.7046,0.47468,0.9881,0.58912,0.92663,0.000155761,0.000155761,0.000155761
92,2499.74,0.8818,0.63828,0.9032,0.94971,0.58537,0.73113,0.48525,0.98671,0.56974,0.92861,0.000141614,0.000141614,0.000141614
93,2523.06,0.86117,0.63894,0.91267,0.94971,0.58537,0.73113,0.48525,0.98671,0.56974,0.92861,0.000127467,0.000127467,0.000127467
94,2546.43,0.86572,0.60816,0.91338,0.59986,0.7598,0.76063,0.49433,0.9857,0.55704,0.93124,0.00011332,0.00011332,0.00011332
95,2569.74,0.87994,0.63149,0.91449,0.6525,0.77758,0.79488,0.50759,0.98773,0.54998,0.93601,9.91726e-05,9.91726e-05,9.91726e-05
96,2593.32,0.83948,0.58496,0.89422,0.6525,0.77758,0.79488,0.50759,0.98773,0.54998,0.93601,8.50255e-05,8.50255e-05,8.50255e-05
97,2616.76,0.85694,0.6199,0.916,0.67744,0.80546,0.80508,0.51234,0.98678,0.54502,0.93736,7.08784e-05,7.08784e-05,7.08784e-05
98,2641.93,0.84784,0.6075,0.91347,0.67744,0.80546,0.80508,0.51234,0.98678,0.54502,0.93736,5.67313e-05,5.67313e-05,5.67313e-05
99,2665.89,0.8451,0.61026,0.89601,0.68317,0.81042,0.81872,0.522,0.9854,0.54626,0.93977,4.25842e-05,4.25842e-05,4.25842e-05
100,2690.11,0.8211,0.58369,0.91188,0.67138,0.8039,0.82779,0.52713,0.98483,0.54891,0.94167,2.84371e-05,2.84371e-05,2.84371e-05
